recordid;id;year;page;litt_std;district_of_divisie;loc_org;loc_std;river_or_road;direction;plantation_std;plantation_org;plantation_id;psur_id;psur_id2;has_parts1_lab;has_parts1_id;has_parts2_lab;has_parts2_id;has_parts3_lab;has_parts3_id;has_parts4_lab;has_parts4_id;part_of_lab;part_of_id;reference_org;owned_by_lab;owned_by_id;owned_by_id2;size_std;product_std;enslaved_norm;enslaved_shared_with;function;additional_info;deserted;lot;administrateurs;directeuren;eigenaren;administrateurs_in_Europa;administrateurs_in_suriname;blank-officier;slaven;sranantongo_naam;plantage_mannelijke_niet_vrije_bewoners;plantage_totaal_niet_vrije_bewoners;plantage_vrouwelijke_niet_vrije_bewoners;privé_mannelijke_niet_vrije_bewoners;privé_totaal_niet_vrije_bewoners;privé_vrouwelijke_niet_vrije_bewoners;soort_van_molen;totaal_generaal_bewoners;vrije_bewoners;generaal_totaal_slaven;generale_macht_slaven_geschikt_tot_werken_plantages;generale_macht_slaven_geschikt_tot_werken_privé;generale_macht_slaven_ongeschikt_tot_werken_plantages;generale_macht_slaven_ongeschikt_tot_werken_privé;totaal_slaven_op_de_plantages_aanwezig_geschikt_tot_werk;totaal_slaven_op_de_plantages_aanwezig_ongeschikt_tot_werk;vrije_personen_op_plantages_jongens;vrije_personen_op_plantages_mannen;vrije_personen_op_plantages_meisjes;vrije_personen_op_plantages_vrouwen;vrije_personen_op_plantages_totaal;werktuig_stoom;werktuig_water
1818-100-656;137;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Nieuw-Zorg;Nieuw Zorg;Q59132896;;;;;;;;;;;;;;;;;;hout;;;;;;;F.C.G. Homeyer;F.C. Homeyer;F.C.G. Homeyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-657;138;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Fredrikshoop;Frederikshoop;Q59115594;;;;;;;;;;;;;;;;;;hout;;;;;;;F.F. Franke;F.F. Franke;F.F. Franke;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-658;139;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Vier Kinderen;Vier Kinderen;Q124832141;;;;;;;;;;;;;Aan Plantage Ephraimszegen;Ephraïmszegen;Q59115556;;;hout;;;;;;;;;Aan Plantage Ephraimszegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-659;140;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Abigaëlslust;Abigaëlslust;Q59115117;;;;;;;;;;;;;;;;;;hout;;;;;;;J.G. Fonseca;S.G. Fonseca;J.G. Fonseca;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-660;141;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Anna's Lust;Annaslust;Q59115155;;;;;;;;;;;;;;;;;;hout;;;;;;;de Wed. H.J. Goedman;D.H. Goedman;de Wed. H.J. Goedman;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-661;142;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Staf Arons;Staf Arons;Q59133885;;;;;;;;;;;;;;;;;;hout;;;;;;;C. Goede;C. Goede;C. Goede;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-662;143;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Helena Christina;Helena Christina;Q59115683;;;;;;;;;;;;;;;;;;hout;;;;;;;Wed. Wolff Moses Wolffs;;Wed. Wolff Moses Wolffs;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-663;144;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Mijnzorg;Mynzorg;Q59119413;;;;;;;;;;;Mijnzorg en Discordia;Q59119426;;;;;;hout;;;;;;;Sequesters van den Hove Civiel;Nieuwhoff;Wed. Wolff Moses Wolffs;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-664;145;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Zorg en Vrij;Zorg en vrij;Q59134235;;;;;;;;;;;;;;;;;;hout;;;;;;;J.W. Beeldsnyder;Trowies;Wed. Muntz;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-665;146;1818;100;;;Pad van Wanica, linkerhand;Pad van Wanica;Paramaribo over land;links;Blij en Hoop;Bleyenhoop;Q59115265;;;;;;;;;;;;;;;;;;kost;;;;;;;J. Bernard;J. Bernard;J. Bernard;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-666;147;1818;100;;;Pad van Wanica, linkerhand;Pad van Wanica;Paramaribo over land;links;Bergershoop;Bergenshoop;Q59115229;;;;;;;;;;;;;;;;;;hout;;;;;;;Sequesters van den Hove Civiel;Nieuwhoff, opzigter;Wed. A. van Bergen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
