lpId,adres1885,straatnaam1885,zoneType,lpAddressStatus,isLinkableAddress,linkingStatus,hasGeometry,candidateCount,candidateSummary
1,A44,Gouvernementsplein,older-regime,address,yes,matched,yes,3,309 | 1837 | A. 44 | Gouvernementsplein | 1837-exact-components+street || 310 | 1837 | A. 44 | Gouvernementsplein | 1837-exact-components+street || 311 | 1837 | A. 44 | Gouvernementsplein | 1837-exact-components+street
2,A45,Gouvernementsplein,older-regime,address,yes,matched,yes,1,2097 | 1837 | A. 45 | Gouvernementsplein | 1837-exact-components+street
3,A96,Gouvernementsplein,older-regime,address,yes,matched,yes,2,339 | 1837 | A. 96 | Gouvernementsplein | 1837-exact-components+street || 340 | 1837 | A. 96 | Gouvernementsplein | 1837-exact-components+street
4,A97,Gouvernementsplein,older-regime,address,yes,matched,yes,2,2096 | 1837 | A. 97 | Gouvernementsplein | 1837-exact-components+street || 2098 | 1837 | A. 97a | Gouvernementsplein | 1837-fallback-core-only+street
5,A1a,Gravenstraat,older-regime,address,yes,matched,yes,6,2 | 1837 | A.  1 | Gravenstraat | 1837-fallback-core-only+street || 3 | 1837 | A.  1 | Gravenstraat | 1837-fallback-core-only+street || 4 | 1837 | A.  1 | Gravenstraat | 1837-fallback-core-only+street || 5 | 1837 | A.  1 | Gravenstraat | 1837-fallback-core-only+street || 6 | 1837 | A.  1a | Gravenstraat | 1837-exact-components+street || 7 | 1837 | A.  1b | Gravenstraat | 1837-fallback-core-only+street
6,A2,Gravenstraat,older-regime,address,yes,matched,yes,1,18 | 1837 | A.  2 | Gravenstraat | 1837-exact-components+street
7,A12,Gravenstraat,older-regime,address,yes,matched,yes,2,178 | 1837 | A. 12 | Gravenstraat | 1837-exact-components+street || 185 | 1837 | A. 12 | Gravenstraat | 1837-exact-components+street
8,A11,Gravenstraat,older-regime,address,yes,matched,yes,5,165 | 1837 | A. 11 | Gravenstraat | 1837-exact-components+street || 166 | 1837 | A. 11 | Gravenstraat | 1837-exact-components+street || 167 | 1837 | A. 11 | Gravenstraat | 1837-exact-components+street || 168 | 1837 | A. 11 | Gravenstraat | 1837-exact-components+street || 169 | 1837 | A. 11 | Gravenstraat | 1837-exact-components+street
9,A10,Gravenstraat,older-regime,address,yes,matched,yes,1,149 | 1837 | A. 10 | Gravenstraat | 1837-exact-components+street
10,A9,Gravenstraat,older-regime,address,yes,matched,yes,4,140 | 1837 | A.  9 | Gravenstraat | 1837-exact-components+street || 141 | 1837 | A.  9 | Gravenstraat | 1837-exact-components+street || 142 | 1837 | A.  9 | Gravenstraat | 1837-exact-components+street || 143 | 1837 | A.  9 | Gravenstraat | 1837-exact-components+street
11,A8,Gravenstraat,older-regime,address,yes,matched,yes,1,86 | 1837 | A.  8 | Gravenstraat | 1837-exact-components+street
12,A7,Gravenstraat,older-regime,address,yes,matched,yes,1,82 | 1837 | A.  7 | Gravenstraat | 1837-exact-components+street
13,A6,Gravenstraat,older-regime,address,yes,matched,yes,11,69 | 1837 | A.  6 | Gravenstraat | 1837-exact-components+street || 70 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street || 71 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street || 72 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street || 73 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street || 74 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street || 75 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street || 76 | 1837 | A.  6b | Gravenstraat | 1837-fallback-core-only+street
14,A5,Gravenstraat,older-regime,address,yes,matched,yes,1,52 | 1837 | A.  5 | Gravenstraat | 1837-exact-components+street
15,A4,Gravenstraat,older-regime,address,yes,matched,yes,1,40 | 1837 | A.  4 | Gravenstraat | 1837-exact-components+street
16,A3,Gravenstraat,older-regime,address,yes,matched,yes,1,27 | 1837 | A.  3 | Gravenstraat | 1837-exact-components+street
17,A13,Gravenstraat,older-regime,address,yes,matched,yes,1,203 | 1837 | A. 13 | Gravenstraat | 1837-exact-components+street
18,A14,Gravenstraat,older-regime,address,yes,matched,yes,1,219 | 1837 | A. 14 | Gravenstraat | 1837-exact-components+street
