lpId,adres1885,straatnaam1885,normalizedAdres1885,normalizedStraatnaam1885,wijk1885,huisnummer1885,toevoeging1885,lpAddressStatus,isLinkableAddress,zoneType,hasGeometry,lng,lat,redCommentaar
304,,,,,,,,insufficient-address-components,no,unknown,yes,-55.1402846740063,5.834258652164508,
305,,,,,,,,insufficient-address-components,no,unknown,yes,-55.137244714058674,5.836692474098395,
306,,,,,,,,insufficient-address-components,no,unknown,yes,-55.14609803156455,5.839227332768384,
307,,,,,,,,insufficient-address-components,no,unknown,yes,-55.148674468517164,5.842827606460653,
308,,,,,,,,insufficient-address-components,no,unknown,yes,-55.15956060148868,5.838136015330217,
309,,,,,,,,insufficient-address-components,no,unknown,yes,-55.16297788350525,5.837147407909323,
310,,,,,,,,insufficient-address-components,no,unknown,yes,-55.16807887366312,5.837645426007556,
311,,,,,,,,insufficient-address-components,no,unknown,yes,-55.17116693623933,5.839358818964677,
312,,,,,,,,insufficient-address-components,no,unknown,yes,-55.174049132172904,5.839948312441813,
313,,,,,,,,insufficient-address-components,no,unknown,yes,-55.17603076319122,5.840794075876751,
314,,,,,,,,insufficient-address-components,no,unknown,yes,-55.17885346665639,5.840729170969635,
315,,,,,,,,insufficient-address-components,no,unknown,yes,-55.18193102138358,5.841899388410965,
316,,,,,,,,insufficient-address-components,no,unknown,yes,-55.18583565858709,5.842677283510702,
317,,Eerste Rijweg,,eerste rijweg,,,,insufficient-address-components,no,unknown,yes,-55.18546589452411,5.831184618219801,
318,,,,,,,,insufficient-address-components,no,unknown,yes,-55.1843038752472,5.816912194982554,
319,,,,,,,,insufficient-address-components,no,unknown,yes,-55.18377536754416,5.812615079453143,
320,,,,,,,,insufficient-address-components,no,unknown,yes,-55.18407970378968,5.809949937960288,
321,,,,,,,,insufficient-address-components,no,unknown,yes,-55.185960699606206,5.807561407209689,
322,,,,,,,,insufficient-address-components,no,unknown,yes,-55.18540040889142,5.805485957746044,
323,,,,,,,,insufficient-address-components,no,unknown,yes,-55.17459475984728,5.808388828811,
324,,,,,,,,insufficient-address-components,no,unknown,yes,-55.13710264175388,5.840524448518016,
325,,,,,,,,insufficient-address-components,no,unknown,yes,-55.13671820131677,5.844966587093991,
589,,,,,,,,insufficient-address-components,no,unknown,yes,-55.161116762165655,5.833847677083105,
590,,,,,,,,insufficient-address-components,no,unknown,yes,-55.152828724418576,5.831802460990205,
591,,,,,,,,insufficient-address-components,no,unknown,yes,-55.15048081759283,5.835565510555634,
592,,,,,,,,insufficient-address-components,no,unknown,yes,-55.15476855965517,5.837866121932747,
593,,,,,,,,insufficient-address-components,no,unknown,yes,-55.15835043721552,5.839312734498455,
594,,,,,,,,insufficient-address-components,no,unknown,yes,-55.15936077572657,5.839411701540723,
595,,,,,,,,insufficient-address-components,no,unknown,yes,-55.16242737635977,5.838246064233394,
596,,,,,,,,insufficient-address-components,no,unknown,yes,-55.149096715381155,5.836224388911673,
2246,,,,,,,,insufficient-address-components,no,unknown,yes,-55.14568095994992,5.840086478928876,
2615,,,,,,,,insufficient-address-components,no,unknown,yes,-55.14780561953567,5.828806872517637,
2628,,,,,,,,insufficient-address-components,no,unknown,yes,-55.15564548659234,5.831326934999166,
2637,,,,,,,,insufficient-address-components,no,unknown,yes,-55.20558583687963,5.817769468574061,
2638,,,,,,,,insufficient-address-components,no,unknown,yes,-55.16976690226034,5.810238834576411,
2639,,,,,,,,insufficient-address-components,no,unknown,yes,-55.17995950834834,5.8049332079832,
