lpId,adres1885,straatnaam1885,normalizedAdres1885,normalizedStraatnaam1885,wijk1885,huisnummer1885,toevoeging1885,lpAddressStatus,isLinkableAddress,zoneType,hasGeometry,lng,lat,redCommentaar
262,A,Gouvernementsplein,a,gouvernementsplein,A,,,non-address-annotation,no,older-regime,yes,-55.15121688459268,5.82675565705784,
263,A,Gouvernementsplein,a,gouvernementsplein,A,,,non-address-annotation,no,older-regime,yes,-55.15156242581556,5.826907850107963,
264,A,Groote Combéweg,a,groote combeweg,A,,,non-address-annotation,no,older-regime,yes,-55.15159072236053,5.827298919619423,
265,A,Groote Combéweg,a,groote combeweg,A,,,non-address-annotation,no,older-regime,yes,-55.15181149367975,5.827619534053275,
266,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.14973329256828,5.825058036721195,
282,A,Waterkant,a,waterkant,A,,,non-address-annotation,no,older-regime,yes,-55.15385604825884,5.824940740113707,
283,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.149211711571844,5.826093048523177,
284,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.14942923817461,5.825464181514723,
285,A,Gouvernementsplein,a,gouvernementsplein,A,,,non-address-annotation,no,older-regime,yes,-55.15064493229995,5.825013756815831,
286,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.15005582773006,5.825283111699141,
287,EBW,,ebw,,A,,,non-address-annotation,no,older-regime,yes,-55.14888485577773,5.82682183210584,
288,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.14882254831052,5.826496682171967,
289,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.14883098464788,5.826242846459282,
290,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.14955356335996,5.825816190819728,
291,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.151081865122414,5.824930076297606,
292,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.15159574845514,5.824944525239747,
293,A,Waterkant,a,waterkant,A,,,non-address-annotation,no,older-regime,yes,-55.15329408511433,5.824960247966712,
294,A,Waterkant,a,waterkant,A,,,non-address-annotation,no,older-regime,yes,-55.15419303911278,5.824876904051069,
295,A,Waterkant,a,waterkant,A,,,non-address-annotation,no,older-regime,yes,-55.15600840658475,5.824357323182819,
296,A,Oranjestraat,a,oranjestraat,A,,,non-address-annotation,no,older-regime,yes,-55.15233228710563,5.827031163551881,
297,A,Oude Oranjetuin,a,oude oranjetuin,A,,,non-address-annotation,no,older-regime,yes,-55.15525730341029,5.827116909182484,
298,A,Oude Hofstraat,a,oude hofstraat,A,,,non-address-annotation,no,older-regime,yes,-55.15414013020736,5.826506514162305,
299,,Gravenstraat,,gravenstraat,A,,,non-address-annotation,no,older-regime,yes,-55.156026255668856,5.8296864862559,
300,,,,,A,,,non-address-annotation,no,older-regime,yes,-55.15434059573211,5.8297565639347,
301,,Gravenstraat,,gravenstraat,A,,,non-address-annotation,no,older-regime,yes,-55.153399174656975,5.828375697271987,
302,EBW,,ebw,,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.15045133588086,5.82834133834143,
303,,Keizerstraat,,keizerstraat,A,,,non-address-annotation,no,older-regime,yes,-55.156641715154734,5.827094937769136,
382,B,Gravenstraat,b,gravenstraat,B,,,non-address-annotation,no,older-regime,yes,-55.1576943974795,5.829853435915511,
383,B,,b,,B,,,non-address-annotation,no,older-regime,yes,-55.158599464009825,5.830042053291193,
538,,Keizerstraat,,keizerstraat,B,,,non-address-annotation,no,older-regime,yes,-55.15786658631374,5.827459942616553,
597,,,,,B,,,non-address-annotation,no,older-regime,yes,-55.158691694142846,5.830676836839953,
598,B,Heerenstraat,b,heerenstraat,B,,,non-address-annotation,no,older-regime,yes,-55.15750162322157,5.828954514917662,
772,C,Dominéstraat,c,dominestraat,C,,,non-address-annotation,no,older-regime,yes,-55.16212691860704,5.82598819672724,
804,C,Steenbakkerijstraat,c,steenbakkerijstraat,C,,,non-address-annotation,no,older-regime,yes,-55.16033909408937,5.823858128878739,
805,C,Steenbakkerijstraat,c,steenbakkerijstraat,C,,,non-address-annotation,no,older-regime,yes,-55.15986843977593,5.823699439574236,
806,C,Waterkant,c,waterkant,C,,,non-address-annotation,no,older-regime,yes,-55.159560328768805,5.823782514564749,Evang. Luthersche Kerk
809,C,Waterkant,c,waterkant,C,,,non-address-annotation,no,older-regime,yes,-55.15842448645361,5.82386935469995,
811,C,Waterkant,c,waterkant,C,,,non-address-annotation,no,older-regime,yes,-55.15733901630069,5.823841024672424,
812,C,Steenbakkerijstraat,c,steenbakkerijstraat,C,,,non-address-annotation,no,older-regime,yes,-55.16073640036759,5.825342529641572,
813,,,,,C,,,non-address-annotation,no,older-regime,yes,-55.16104056402582,5.82553221263587,
814,,Domineestraat,,domineestraat,C,,,non-address-annotation,no,older-regime,yes,-55.16179435472534,5.825374584443065,
815,C,Heiligeweg,c,heiligeweg,C,,,non-address-annotation,no,older-regime,yes,-55.15691410020767,5.825154695869071,
816,C,Waterkant,c,waterkant,C,,,non-address-annotation,no,older-regime,yes,-55.156964929504866,5.823836882449954,
817,,Vaillantsplein,,vaillantsplein,C,,,non-address-annotation,no,older-regime,yes,-55.15720422431744,5.826335466900829,
818,,Domineestraat,,domineestraat,C,,,non-address-annotation,no,older-regime,yes,-55.15796085803387,5.826649344279685,
819,,Keizerstraat,,keizerstraat,C,,,non-address-annotation,no,older-regime,yes,-55.158911625899286,5.827698267543545,
821,,,,,A,,,non-address-annotation,no,older-regime,yes,-55.155676855910116,5.824326088696623,
1019,D,,d,,D,,,non-address-annotation,no,older-regime,yes,-55.16662128328206,5.829527397159207,
1020,D,,d,,D,,,non-address-annotation,no,older-regime,yes,-55.16664874629546,5.827989676688683,
1021,D,,d,,D,,,non-address-annotation,no,older-regime,yes,-55.167581572248764,5.829065429036928,
1022,,Wanicastraat,,wanicastraat,D,,,non-address-annotation,no,older-regime,yes,-55.16860849585745,5.828843724104646,
1023,D,,d,,D,,,non-address-annotation,no,older-regime,yes,-55.16266056382622,5.828981881195895,
1106,,,,,E,,,non-address-annotation,no,older-regime,yes,-55.163549056511215,5.824682669524338,
1425,,,,,E,,,non-address-annotation,no,older-regime,yes,-55.163829343591274,5.824321957689461,
1426,,,,,E,,,non-address-annotation,no,older-regime,yes,-55.164192777351104,5.823144860659038,
1427,E,Saramaccastraat,e,saramaccastraat,E,,,non-address-annotation,no,older-regime,yes,-55.16377185922618,5.820035126752785,
1428,E,,e,,E,,,non-address-annotation,no,older-regime,yes,-55.16151776216395,5.821325482315951,
1974,F,Wanicastraat,f,wanicastraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.17184834093524,5.823056733224693,
1975,F,Wanicastraat,f,wanicastraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.17190593889457,5.822819565156886,
1976,F,Gemeenelandsweg,f,gemeenelandsweg,F,,,non-address-annotation,no,renumbered-1885,yes,-55.17219392869119,5.822450260594156,
1977,,Saramaccastraat,,saramaccastraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16461098301214,5.820334394938198,
1978,F,Saramaccastraat,f,saramaccastraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.164111532934214,5.819011290345802,
1979,F,Saramaccastraat,f,saramaccastraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16514110107731,5.818577557383393,
1980,F,,f,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16521558047489,5.817574276086512,
1981,F,,f,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16508414624384,5.81677690841825,
1982,F,,f,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.165233105039015,5.816566613648599,
1983,,Molenpad,,molenpad,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16918051311103,5.816562232507561,
1984,,Wanicastraat,,wanicastraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.17253646714335,5.822121900480242,
1985,,,,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.17598004399641,5.815335513017924,
1986,,,,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.176251674740556,5.814748440119314,
1987,,Poelepantjebrug,,poelepantjebrug,F,,,non-address-annotation,no,renumbered-1885,yes,-55.175944994868146,5.814362899708283,
1988,,,,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16879935384098,5.812064991235725,
1989,,Nieuwe Dominéstraat,,nieuwe dominestraat,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16979825399683,5.824148178208658,
1990,,,,,E,,,non-address-annotation,no,older-regime,yes,-55.163540724220795,5.822490098669326,
2243,EBW,Kleine Waterstraat,ebw,kleine waterstraat,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.148344018539916,5.827709693904527,
2244,EBW,,ebw,,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.14449850772615,5.829285167497826,
2245,EBW,,ebw,,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.14687018840423,5.827624991023165,
2592,TBW,,tbw,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.175261420068615,5.835056865254331,
2593,TBW,,tbw,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.17646856842411,5.835265794777396,
2594,TBW,,tbw,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.17577213668056,5.833983199649681,
2595,,,,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.17108282960727,5.835103294037234,
2596,,,,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.17096095405215,5.834099271606941,
2597,,,,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.170728810137646,5.831162651088275,
2598,,Wanicastraat,,wanicastraat,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.17195917288458,5.824114181483699,
2605,F,,f,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16566147283497,5.815268678371095,
2607,,Soldatenstraat,,soldatenstraat,B,,,non-address-annotation,no,older-regime,yes,-55.16417789853288,5.833300014846237,
2608,,,,,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.16567117121764,5.83412153526337,
2609,,Verlengde Weidestraat,,verlengde weidestraat,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.16833679952868,5.831141965703269,
2610,F,,f,,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16860764748985,5.814724396501072,
2612,,,,,A,,,non-address-annotation,no,older-regime,yes,-55.15574076106432,5.828384790521435,
2614,,,,,A,,,non-address-annotation,no,older-regime,yes,-55.15083909625266,5.826447484580581,
2616,EBW,,ebw,,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.14932944376813,5.82780686286509,
2618,EBW,Kleine Waterstraat,ebw,kleine waterstraat,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.147809405636856,5.827432682440518,
2620,,,,,A,,,non-address-annotation,no,older-regime,yes,-55.15001353266543,5.825510079424908,
2621,B,Wagenwegstraat,b,wagenwegstraat,B,,,non-address-annotation,no,older-regime,yes,-55.15809827292962,5.829189030832783,
2622,A,,a,,A,,,non-address-annotation,no,older-regime,yes,-55.15123183358814,5.827213785115563,
2627,,,,,Princestraat,,,non-address-annotation,no,older-regime,no,,,
2630,,,,,Princestraat,,,non-address-annotation,no,older-regime,no,,,
2632,,Gemenelandsweg,,gemenelandsweg,F,,,non-address-annotation,no,renumbered-1885,yes,-55.16983225313259,5.820481721842841,in 1885 ook F349
2633,,Tweede Dwarsstraat,,tweede dwarsstraat,EBW,,,non-address-annotation,no,renumbered-1885,yes,-55.144492723181216,5.831327366937551,ook EBW214 in 1885
2636,,Wanicastraat,,wanicastraat,TBW,,,non-address-annotation,no,renumbered-1885,yes,-55.17635100269472,5.816639402357756,
3007,C,Steenbakkersgracht,c,steenbakkersgracht,C,,,non-address-annotation,no,older-regime,yes,-55.15743563939001,5.824021265301617,
