europeanaId,europeanaGuid,europeanaType,field,category,matchedTerm,matchedTermNormalized,canonicalName,matchSource,stmGazetteerId,termAmbiguityCount,surinameConfidence,isStrictSuriname,naturalHistoryFlag,title,snippet,plantationContextHint,streetContextHint,lowHangingSpecific,reviewBucket
/1417/https___archief_nl_id_foto_aeb9d992_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aeb9d992_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,street,Plein,plein,Gouvernementsplein,paramaribo-street-standardization,,1,strict,true,false,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,false,true,true,high-precision
/1417/https___archief_nl_id_foto_aeb9d992_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aeb9d992_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,street,Plein,plein,Gouvernementsplein,paramaribo-street-standardization,,1,strict,true,false,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,false,true,true,high-precision
/1417/https___archief_nl_id_foto_aeb9da5a_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aeb9da5a_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,street,Plein,plein,Gouvernementsplein,paramaribo-street-standardization,,1,strict,true,false,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,false,true,true,high-precision
/1417/https___archief_nl_id_foto_aeb9da5a_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aeb9da5a_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,street,Plein,plein,Gouvernementsplein,paramaribo-street-standardization,,1,strict,true,false,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,Het centrale plein van Albina met een borstbeeld van koningin Wilhelmina,false,true,true,high-precision
/2051906/data_euscreenXL_https___www_openbeelden_nl_media_656088,https://www.europeana.eu/item/2051906/data_euscreenXL_https___www_openbeelden_nl_media_656088?utm_source=api&utm_medium=api&utm_campaign=ookerleus,VIDEO,description,plantation,Union,union,Union,stm-gazetteer,stm-00901,2,strict,true,false,Stakingen in Paramaribo | Weeknummer 71-38 | Strikes in Paramaribo,"ansport, where workers have been ordered by their unions to lay off in protest against the socio-economic policies of the government. The strikers gather a",false,false,false,needs-review
/2051906/data_euscreenXL_https___www_openbeelden_nl_media_656088,https://www.europeana.eu/item/2051906/data_euscreenXL_https___www_openbeelden_nl_media_656088?utm_source=api&utm_medium=api&utm_campaign=ookerleus,VIDEO,description,plantation,Union,union,Union,stm-gazetteer,stm-01614,2,strict,true,false,Stakingen in Paramaribo | Weeknummer 71-38 | Strikes in Paramaribo,"ansport, where workers have been ordered by their unions to lay off in protest against the socio-economic policies of the government. The strikers gather a",false,false,false,needs-review
/2051906/data_euscreenXL_https___www_openbeelden_nl_media_663593,https://www.europeana.eu/item/2051906/data_euscreenXL_https___www_openbeelden_nl_media_663593?utm_source=api&utm_medium=api&utm_campaign=ookerleus,VIDEO,description,plantation,Haarlem,haarlem,Haarlem,stm-gazetteer,stm-01715,1,strict,true,false,Boeken voor West-Indië | Weeknummer 48-04 | Books for the West Indies,"In een klas van een lagere school in Haarlem geeft een gast-onderwijzer, een Surinamer, les. Hij is naar ons land gekomen om Nederlandse leesboe",false,false,false,needs-review
/2051906/data_euscreenXL_https___www_openbeelden_nl_media_671313,https://www.europeana.eu/item/2051906/data_euscreenXL_https___www_openbeelden_nl_media_671313?utm_source=api&utm_medium=api&utm_campaign=ookerleus,VIDEO,description,plantation,Victoria,victoria,Victoria,stm-gazetteer,stm-00551,2,strict,true,false,Nederlandse ontwikkelingshulp nader bekeken | Weeknummer 78-12 | A closer look at Dutch development aid,odem voor de uitbreiding van het oliepalm-project Victoria ten behoeve van de productie van palmolie; ext. fabriek voor vervaardiging van cosmetica en spijsve,false,false,false,needs-review
/2051906/data_euscreenXL_https___www_openbeelden_nl_media_671313,https://www.europeana.eu/item/2051906/data_euscreenXL_https___www_openbeelden_nl_media_671313?utm_source=api&utm_medium=api&utm_campaign=ookerleus,VIDEO,description,plantation,Victoria,victoria,Victoria,plantages-dataset,,2,strict,true,false,Nederlandse ontwikkelingshulp nader bekeken | Weeknummer 78-12 | A closer look at Dutch development aid,odem voor de uitbreiding van het oliepalm-project Victoria ten behoeve van de productie van palmolie; ext. fabriek voor vervaardiging van cosmetica en spijsve,false,false,false,needs-review
/764/item_2524163,https://www.europeana.eu/item/764/item_2524163?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,street,Nepveu,nepveu,Nepveu,paramaribo-street-standardization,,1,probable,true,false,"Portrait of Jan Nepveu, Governor-General of Surinam","Portrait of Jan Nepveu, Governor-General of Surinam",false,false,false,needs-review
