source,detailId,mediaId,recordKey,detailUrl,listingPage,title,description,documentType,inventoryNumber,maker,yearRaw,personsRaw,colorRaw,collectionRaw,keywordsRaw,downloadableRaw,playtimeRaw,mediaType,hasTimeAxis,durationSeconds,tcStartDefault,tcEndDefault,scrapeTimestamp
nas-mediabank,000fe37b-954e-bb37-c9c5-0ef7b2df0190,d0a6021c-c94b-476d-be61-01806cb788f5,000fe37b-954e-bb37-c9c5-0ef7b2df0190::d0a6021c-c94b-476d-be61-01806cb788f5,https://webservices.memorix.nl/mediabank/media/000fe37b-954e-bb37-c9c5-0ef7b2df0190 | https://streaming.memorix.nl/vod/mp4:nas:d0a6021c-c94b-476d-be61-01806cb788f5/manifest.mpd,1,Districtsraad openbare vergadering Weekjournaal,Openbare vergadering van de districtsraad in Theater Unique,Video,SR-NA_02_0090,NVD,1990,,Kleur,NVD,"Theater Unique, De Haas, ressortraadsleden",Nee,0:49,video,true,49,00:00:00.000,00:00:49.000,2026-08-04T07:33:41.525Z
nas-mediabank,00105e9a-9958-01c9-99ac-3a179338ba24,0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,00105e9a-9958-01c9-99ac-3a179338ba24::0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,https://webservices.memorix.nl/mediabank/media/00105e9a-9958-01c9-99ac-3a179338ba24 | ,1,"Suralco Magazine, augustus 1970","Natuurlijke historie: ""De Brownsberg"" werd geschreven door de heren Ir. J. J. Janssen en Ir. F. C. Bub- berman. Ir. Janssen (40) is bij de Suralco werkzaam als Chef van de Mijn te Moengo en is lid van het Bestuur van de STINASU. Ir. Bubberman (41), in Suriname sinds 1957, is Hoofd van de Dienst 's-Lands Bosbeheer en lid van de Commissie voor de Natuurbescherming. Hun artikel werd ingeleid en aangevuld door de redaktie. Vele van de ter illustratie gebruikte foto's zijn van Dr. J. P. Schulz. 
Infrastructure: ""New direct highway"" was written by the editors and illustrated by aerial photos by the Government Information Service (R.V.D.S.). Sport: ""Zeilen in Suriname"" werd geschreven door de heer D. A. Brunings (44), voorlich-tingsambtenaar bij het Ministerie van Landbouw, Veeteelt en Visserij. De heer Brunings (in Suriname sinds 1950) en zijn vrouw zijn zeer aktief in het bedrijven en propageren van de zeilsport in ons land. De foto's zijn van de redaktie.",Fotodocument,SR-NA_03_0007_015,Suralco,Aug. 1970,,,Suralco,OMSLAG/COVER: De kleurenfoto van Ed Hogenboom van Prolasco Studios in Paramaribo geeft een waarachtig beeld van de natuurlijke schoonheid van de Brownsberg,Nee,,image,false,,00:00:00.000,,2026-08-04T07:33:41.525Z
nas-mediabank,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,https://webservices.memorix.nl/mediabank/media/0043503b-40ca-56bc-01ae-509818ac5747 | https://streaming.memorix.nl/vod/mp4:nas:470124a3-a9e8-c8fb-eb59-d6e0ee86de1a/manifest.mpd,1,Persconferentie van Henk Arron,Henck Arron geeft antwoord op vragen journalisten over functioneren van de regering en ministers,Video,SR-NA_02_0052,STVS,Onbekend,"Nita Ramcharan, Stuart Duyser, Lucien Pinas",Kleur,STVS,"Jagernath Lachmon, Fred Derby, President, Frontleiders, taakomschrijving, ministeries, ordening, toerisme, vredesvraagstuk, VHP, bezorgdheid, Nita Ramcharan, Lucien Pinas, Stuart Duyser,",Nee,00:07:46,video,true,466,00:00:00.000,00:07:46.000,2026-08-04T07:33:41.525Z
nas-mediabank,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,https://webservices.memorix.nl/mediabank/media/004aae29-a924-c1b6-18a5-e40a4a8fbc94 | https://streaming.memorix.nl/vod/mp4:nas:cb5e0263-d9f0-c8cb-7d94-dafee0b10f00/manifest.mpd,1,Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering,"President Ramsewak Shankar: ""Volk van Suriname. Zoals het u bekend is uit verschillende persbriefing hebben zich vanaf eind vorige week ernstige complicaties voorgedaan in het Brokopondo en Marowijne gebied. Deze complicaties waren bij een aantal ongrondwettelijke gewapende groepen zijn opgetreden hebben geleid tot ernstige verstoring van het dagelijks leven tot gewapend treffen waarbij doden en gewonden te betreuren waren tot omvangrijke financieel economische schade en tot bedreiging van de veiligheid van grote delen van ons land. Naast zijdens het Nationaal Leger over de situatie op woensdag 30 mei 1990 ge‹nformeerd te zijn hebben wij het Nationaal Leger opdrachten en richtlijnen gegeven"". ",Audio,SR-NA_00_0082,NVD,31 maart 1990,,,NVD,,Nee,3:30,audio,true,210,00:00:00.000,00:03:30.000,2026-08-04T07:33:41.525Z
nas-mediabank,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,https://webservices.memorix.nl/mediabank/media/00795a09-c008-fca0-11a9-20c1ba8eb413 | https://streaming.memorix.nl/vod/mp4:nas:3bc47e3a-dd01-46c6-9c24-573ad3258dae/manifest.mpd,1,Johan Pengel bij installatie van Commissie Nationale Bloem en Boom,"In verband met de installatie van een Commissie Nationale Bloem, heeft minister president J.A Pengel een toespraak gehouden in de vergaderzaal van de Raad van Ministers. Het gaat hierbij om advies uitbrengen aan de RvM inzake de vaststelling van een Nationale Bloem en Nationale Boom",Video,SR-NA_02_0187,RVDS,Onbekend,,Zwart/wit,Hans Breeveld,"Commissie Nationale Bloem, Pengel, Nationale Boom, dokter-ingenieur Agin, H. Tindalie, Ormsgier, Veira, Kolf, Guda, Azimullah, Steward Robert, tekenaar en beeldhouwer, H. S. Agin, H. Tindalie, S. Robles De Medina, A. M. Veira, R. W. Ormsgier,  R. T. Wongsodikromo, J. Guda-De Vries, C. R. Kolf, R. Azimulah",Nee,00:10:05,video,true,605,00:00:00.000,00:10:05.000,2026-08-04T07:33:41.525Z
nas-mediabank,00a51b89-7b29-aa5c-6533-6e1ae11e1d05,ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,00a51b89-7b29-aa5c-6533-6e1ae11e1d05::ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,https://webservices.memorix.nl/mediabank/media/00a51b89-7b29-aa5c-6533-6e1ae11e1d05 | ,1,Vertrek Minister Just Rens naar het buitenland,Vertrek Minister Just Rens naar het buitenland,Foto,SR-NA_01_0172,RVDS,27-04-1970,,Zwart/wit,RVDS,"Ministerie van Economische Zaken, Ministers, Minister Just Rens, Buitenlandse reizen",Nee,,image,false,,00:00:00.000,,2026-08-04T07:33:41.525Z
nas-mediabank,00b1f295-7f80-f141-c491-658bd365bbf0,8cfa609c-175d-5116-9b2d-644cdbda8748,00b1f295-7f80-f141-c491-658bd365bbf0::8cfa609c-175d-5116-9b2d-644cdbda8748,https://webservices.memorix.nl/mediabank/media/00b1f295-7f80-f141-c491-658bd365bbf0 | https://streaming.memorix.nl/vod/mp4:nas:8cfa609c-175d-5116-9b2d-644cdbda8748/manifest.mpd,1,SLM huurt Boeing 747,De Surinaamse Luchtvaartmaatschappij heeft een boeiing 747 gehuurd bij de KLM. Fred Derby meent dat het huren verdere mogelijkheden indiceert. De nieuwe overeenkomst breekt naar zijn zeggen een nieuwe horizon open voor de SLM en de continu‹teit van het bedrijf en garandeert het de bestaanszekerheid van de werknemers ,Video,SR-NA_02_0894,NVD,Onbekend,,Kleur,NVD,"Regering, SLM, KLM",Nee,00:04:25,video,true,265,00:00:00.000,00:04:25.000,2026-08-04T07:33:41.525Z
nas-mediabank,011a9a79-9f7e-31f6-f89b-5c67c302899d,f776e074-064c-0df9-d319-fc61084f2dea,011a9a79-9f7e-31f6-f89b-5c67c302899d::f776e074-064c-0df9-d319-fc61084f2dea,https://webservices.memorix.nl/mediabank/media/011a9a79-9f7e-31f6-f89b-5c67c302899d | ,1,Jubileum mevrouw bij D.C,Jubileum mevrouw bij D.C (distrikt commissaris) Suriname,Foto,SR-NA_01_0155,RVDS,sep-70,,Zwart/wit,RVDS,"Ministerie van Economische Zaken, Ministers, Jubileum, distrikt Commissaris Suriname,",Nee,,image,false,,00:00:00.000,,2026-08-04T07:33:41.525Z
nas-mediabank,013bb184-2309-5fd7-301a-795f09b58190,104b2563-1b52-d4db-f44f-474ec1e7ee80,013bb184-2309-5fd7-301a-795f09b58190::104b2563-1b52-d4db-f44f-474ec1e7ee80,https://webservices.memorix.nl/mediabank/media/013bb184-2309-5fd7-301a-795f09b58190 | https://streaming.memorix.nl/vod/mp4:nas:104b2563-1b52-d4db-f44f-474ec1e7ee80/manifest.mpd,1,Celsius Waterberg op een bijeenkomst van de Samenwerkende Partijen,Celsius Waterberg spreek in het kader van de Samenwerkende Partijen op een bijeenkomst,Video,SR-NA_02_1360,ATV,Onbekend,Celsius Waterberg,Kleur,ATV,,Nee,00:01:11,video,true,71,00:00:00.000,00:01:11.000,2026-08-04T07:33:41.525Z
nas-mediabank,016a3b91-5ab0-1935-355c-de83dbf513d2,267dc767-5508-a49f-fade-f55e3cc5726e,016a3b91-5ab0-1935-355c-de83dbf513d2::267dc767-5508-a49f-fade-f55e3cc5726e,https://webservices.memorix.nl/mediabank/media/016a3b91-5ab0-1935-355c-de83dbf513d2 | https://streaming.memorix.nl/vod/mp4:nas:267dc767-5508-a49f-fade-f55e3cc5726e/manifest.mpd,1,Nacovar schenkt vleespakket aan bejaardentehuizen,"De Nationale Coöperatieve Vereniging , Nacovar, is voornemens elk jaar vleespakketten te overhandigen aan bejaardentehuizen ",Video,SR-NA_02_0869,STVS,6 mei 1988,,Kleur,BRW,Vleespakketten,Nee,00:00:34,video,true,34,00:00:00.000,00:00:34.000,2026-08-04T07:33:41.525Z
