recordKey,detailId,mediaId,segmentIndex,tcStart,tcEnd,startSeconds,endSeconds,segmentLabel,transcriptSnippet,personMentions,placeMentions,confidence,reviewedBy
000fe37b-954e-bb37-c9c5-0ef7b2df0190::d0a6021c-c94b-476d-be61-01806cb788f5,000fe37b-954e-bb37-c9c5-0ef7b2df0190,d0a6021c-c94b-476d-be61-01806cb788f5,1,00:00:00.000,00:00:49.000,0,49,full item,,,,,
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,1,00:00:00.000,00:07:46.000,0,466,full item,,,,,
004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,1,00:00:00.000,00:03:30.000,0,210,full item,,,,,
00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,1,00:00:00.000,00:10:05.000,0,605,full item,,,,,
00b1f295-7f80-f141-c491-658bd365bbf0::8cfa609c-175d-5116-9b2d-644cdbda8748,00b1f295-7f80-f141-c491-658bd365bbf0,8cfa609c-175d-5116-9b2d-644cdbda8748,1,00:00:00.000,00:04:25.000,0,265,full item,,,,,
013bb184-2309-5fd7-301a-795f09b58190::104b2563-1b52-d4db-f44f-474ec1e7ee80,013bb184-2309-5fd7-301a-795f09b58190,104b2563-1b52-d4db-f44f-474ec1e7ee80,1,00:00:00.000,00:01:11.000,0,71,full item,,,,,
016a3b91-5ab0-1935-355c-de83dbf513d2::267dc767-5508-a49f-fade-f55e3cc5726e,016a3b91-5ab0-1935-355c-de83dbf513d2,267dc767-5508-a49f-fade-f55e3cc5726e,1,00:00:00.000,00:00:34.000,0,34,full item,,,,,
017b244b-bfd3-4fb1-24c8-86f7e7814f8b::074ca9c2-0ee5-caf7-86e4-316d06bbd47e,017b244b-bfd3-4fb1-24c8-86f7e7814f8b,074ca9c2-0ee5-caf7-86e4-316d06bbd47e,1,00:00:00.000,00:25:16.000,0,1516,full item,,,,,
01a2cf86-3aea-dbba-5469-5f33c893ef13::aebe8007-5ded-df0d-0fc8-cd4db527c78d,01a2cf86-3aea-dbba-5469-5f33c893ef13,aebe8007-5ded-df0d-0fc8-cd4db527c78d,1,00:00:00.000,00:28:26.000,0,1706,full item,,,,,
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,1,00:00:00.000,00:03:33.000,0,213,full item,,,,,
