recordKey,detailId,mediaId,mediaType,inventoryNumber,yearRaw,field,hitType,category,matchedTerm,matchedTermNormalized,canonicalName,matchSource,stmGazetteerId,ambiguityCount,title,snippet,lowHangingSpecific,reviewBucket
000fe37b-954e-bb37-c9c5-0ef7b2df0190::d0a6021c-c94b-476d-be61-01806cb788f5,000fe37b-954e-bb37-c9c5-0ef7b2df0190,d0a6021c-c94b-476d-be61-01806cb788f5,video,SR-NA_02_0090,1990,description,person,person,Theater Unique,theater unique,Theater Unique,heuristic-capitalized-sequence,,2,Districtsraad openbare vergadering Weekjournaal,"g Weekjournaal Openbare vergadering van de districtsraad in Theater Unique Theater Unique, De Haas, ressortraadsleden",false,needs-review
00105e9a-9958-01c9-99ac-3a179338ba24::0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,00105e9a-9958-01c9-99ac-3a179338ba24,0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,image,SR-NA_03_0007_015,Aug. 1970,description,person,person,Suralco Magazine,suralco magazine,Suralco Magazine,heuristic-capitalized-sequence,,2,"Suralco Magazine, augustus 1970","Suralco Magazine, augustus 1970 Natuurlijke historie: ""De Brownsberg"" werd geschreven door de heren Ir. J. J. Janssen en Ir. F. C. Bub-",false,needs-review
00105e9a-9958-01c9-99ac-3a179338ba24::0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,00105e9a-9958-01c9-99ac-3a179338ba24,0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,image,SR-NA_03_0007_015,Aug. 1970,description,person,person,Lands Bosbeheer,lands bosbeheer,Lands Bosbeheer,heuristic-capitalized-sequence,,2,"Suralco Magazine, augustus 1970","man (41), in Suriname sinds 1957, is Hoofd van de Dienst 's-Lands Bosbeheer en lid van de Commissie voor de Natuurbescherming. Hun artikel werd ingeleid en aangevuld door de redaktie. Vele van de",false,needs-review
00105e9a-9958-01c9-99ac-3a179338ba24::0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,00105e9a-9958-01c9-99ac-3a179338ba24,0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,image,SR-NA_03_0007_015,Aug. 1970,description,person,person,Government Information Service,government information service,Government Information Service,heuristic-capitalized-sequence,,2,"Suralco Magazine, augustus 1970","tten by the editors and illustrated by aerial photos by the Government Information Service (R.V.D.S.). Sport: ""Zeilen in Suriname"" werd geschreven door de heer D. A. Brunings (44), voorlich-tingsambtenaar bij h",false,needs-review
00105e9a-9958-01c9-99ac-3a179338ba24::0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,00105e9a-9958-01c9-99ac-3a179338ba24,0cbe6200-9ef4-6f72-dd1c-185a749ec0f2,image,SR-NA_03_0007_015,Aug. 1970,description,person,person,Prolasco Studios,prolasco studios,Prolasco Studios,heuristic-capitalized-sequence,,2,"Suralco Magazine, augustus 1970",redaktie. OMSLAG/COVER: De kleurenfoto van Ed Hogenboom van Prolasco Studios in Paramaribo geeft een waarachtig beeld van de natuurlijke schoonheid van de Brownsberg,false,needs-review
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,personsRaw,person,person,Nita Ramcharan,nita ramcharan,Nita Ramcharan,nas-persons-field,,1,Persconferentie van Henk Arron,Nita Ramcharan,true,high-precision
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,personsRaw,person,person,Stuart Duyser,stuart duyser,Stuart Duyser,nas-persons-field,,1,Persconferentie van Henk Arron,Stuart Duyser,true,high-precision
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,personsRaw,person,person,Lucien Pinas,lucien pinas,Lucien Pinas,nas-persons-field,,1,Persconferentie van Henk Arron,Lucien Pinas,true,high-precision
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,description,person,person,Henk Arron,henk arron,Henk Arron,heuristic-capitalized-sequence,,2,Persconferentie van Henk Arron,"Persconferentie van Henk Arron Henck Arron geeft antwoord op vragen journalisten over functioneren van de regering en ministers Jagernath Lachmon, Fre",false,needs-review
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,description,person,person,Henck Arron,henck arron,Henck Arron,heuristic-capitalized-sequence,,2,Persconferentie van Henk Arron,"Persconferentie van Henk Arron Henck Arron geeft antwoord op vragen journalisten over functioneren van de regering en ministers Jagernath Lachmon, Fred Derby, Pre",false,needs-review
