recordKey,detailId,mediaId,mediaType,inventoryNumber,yearRaw,field,hitType,category,matchedTerm,matchedTermNormalized,canonicalName,matchSource,stmGazetteerId,ambiguityCount,title,snippet,lowHangingSpecific,reviewBucket
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,personsRaw,person,person,Nita Ramcharan,nita ramcharan,Nita Ramcharan,nas-persons-field,,1,Persconferentie van Henk Arron,Nita Ramcharan,true,high-precision
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,personsRaw,person,person,Stuart Duyser,stuart duyser,Stuart Duyser,nas-persons-field,,1,Persconferentie van Henk Arron,Stuart Duyser,true,high-precision
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,personsRaw,person,person,Lucien Pinas,lucien pinas,Lucien Pinas,nas-persons-field,,1,Persconferentie van Henk Arron,Lucien Pinas,true,high-precision
004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,audio,SR-NA_00_0082,31 maart 1990,description,place,river,Marowijne,marowijne,Marowijne,stm-gazetteer,stm-00363,1,Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering,week ernstige complicaties voorgedaan in het Brokopondo en Marowijne gebied. Deze complicaties waren bij een aantal ongrondwettelijke gewapende groepen zijn opgetreden hebben geleid tot er,true,high-precision
013bb184-2309-5fd7-301a-795f09b58190::104b2563-1b52-d4db-f44f-474ec1e7ee80,013bb184-2309-5fd7-301a-795f09b58190,104b2563-1b52-d4db-f44f-474ec1e7ee80,video,SR-NA_02_1360,Onbekend,personsRaw,person,person,Celsius Waterberg,celsius waterberg,Celsius Waterberg,nas-persons-field,,1,Celsius Waterberg op een bijeenkomst van de Samenwerkende Partijen,Celsius Waterberg,true,high-precision
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,title,place,street,Wanica,wanica,Wanica,paramaribo-street-standardization,,1,Kerkdiensten in Gemeente Wanica,Kerkdiensten in Gemeente Wanica,true,high-precision
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,description,place,street,Wanica,wanica,Wanica,paramaribo-street-standardization,,1,Kerkdiensten in Gemeente Wanica,"diverse gemeenten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk",true,high-precision
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,keywords,place,street,Wanica,wanica,Wanica,paramaribo-street-standardization,,1,Kerkdiensten in Gemeente Wanica,Kerkdiensten | Grote Stadskerk | Lutherse Kerk | Gemeente Wanica | Rosakerk,true,high-precision
021bffb7-90fe-1643-f611-93c10557a95a::fa4a2b13-0665-d00b-cf26-70fa97bf16b4,021bffb7-90fe-1643-f611-93c10557a95a,fa4a2b13-0665-d00b-cf26-70fa97bf16b4,video,SR-NA_02_0930,Onbekend,description,place,plantation,Combe,combe,Combe,stm-gazetteer,stm-00547,1,Programma over subsidie artikelen,George Radjkoemar praat met ondernemers over economische maatregelen van de regering Venetiaan-Ajodhia: Directeur Kries Kalipdewsingh van Combé markt en Melkcentrale-directeur Henk,true,high-precision
02e84401-4a29-d23a-1410-aa8d7fbc3b06::29499bf3-6e23-8063-260c-844a6ef51de7,02e84401-4a29-d23a-1410-aa8d7fbc3b06,29499bf3-6e23-8063-260c-844a6ef51de7,video,SR-NA_02_1387,Onbekend,personsRaw,person,person,Desi Bouterse,desi bouterse,Desi Bouterse,nas-persons-field,,1,NIS. Inzwering en installatie van de nieuwe President D. Bouterse,Desi Bouterse,true,high-precision
0356cd42-93f3-bec8-0655-feb180cfbc3e::09a4d8c0-e7da-2450-44fd-3a6a47cb2fd8,0356cd42-93f3-bec8-0655-feb180cfbc3e,09a4d8c0-e7da-2450-44fd-3a6a47cb2fd8,image,SR-NA_01_0234,Onbekend,description,place,street,Gravenstraat,gravenstraat,Gravenstraat,paramaribo-street-standardization,,1,Henk Arron,s minister van Buitenlandse Zaken. Op 25 april 2003 werd de Gravenstraat in Paramaribo omgedoopt tot Henck Arronstraat. Op 26 april 2006 werd er een standbeeld (gebeeldhouwd door Erwin de Vrie,true,high-precision
036f72b0-e7e2-760b-ab41-5b3bc4829485::b6160be5-159d-b66a-85a4-1120369bdbdb,036f72b0-e7e2-760b-ab41-5b3bc4829485,b6160be5-159d-b66a-85a4-1120369bdbdb,video,SR-NA_02_1034_002,Onbekend,description,place,river,Nickerie,nickerie,Nickerie,stm-gazetteer,stm-00261,1,Minister van Russel met districtcommissaris Ramadhin-deel 2,Nieuwbakken districtscommissaris Hardeo Ramadin van Nickerie verzekert dat het gestelde vertrouwen van de regering in hem nimmer beschaamd zal worden,true,high-precision
038e4dec-7276-d43c-0212-2d08644717fb::777c1f48-cee0-35aa-80cb-fe38ec261696,038e4dec-7276-d43c-0212-2d08644717fb,777c1f48-cee0-35aa-80cb-fe38ec261696,video,SR-NA_02_0993,Onbekend,personsRaw,person,person,Radjkoemar Randjietsingh,radjkoemar randjietsingh,Radjkoemar Randjietsingh,nas-persons-field,,1,DNA begroting 2003 ministerie Hl,Radjkoemar Randjietsingh,true,high-precision
