table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,object,yes,no,no,8,8,8,"{""type"":""MultiPolygon"",""coordinates"":[[[[702610.7625260327,644371.599762361],[702733.1028591424,644579.1347012939],[703428.9541214602,644202.4317562762],[703603.256908481,644101...",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,no,8,8,8,"[[[[702610.7625260327,644371.599762361],[702733.1028591424,644579.1347012939],[703428.9541214602,644202.4317562762],[703603.256908481,644101.9261957892],[703732.552772498,644029...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,8,"[[[702610.7625260327,644371.599762361],[702733.1028591424,644579.1347012939],[703428.9541214602,644202.4317562762],[703603.256908481,644101.9261957892],[703732.552772498,644029....",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry.coordinates[][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,8,"[[702610.7625260327,644371.599762361],[702733.1028591424,644579.1347012939],[703428.9541214602,644202.4317562762],[703603.256908481,644101.9261957892],[703732.552772498,644029.0...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry.coordinates[][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,129,"[702610.7625260327,644371.599762361]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry.coordinates[][][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,yes,no,yes,8,8,258,702610.7625260327,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,8,8,8,"""MultiPolygon""",@type,space;vocabulary,immutable-source,type / classified_as
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,8,8,8,"{""id"":5,""Wijk"":""E"",""gebBS28-68"":2746}",https://purl.org/geojson/vocab#properties,content,immutable-source,
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],properties.gebBS28-68,Geb BS28 68,Building or area code retained unchanged from the original GIS source.,curated,integer,yes,no,no,8,8,8,2746,,content,immutable-source,
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],properties.id,Id,Stable identifier used to address this record.,curated,integer,yes,no,no,8,8,8,5,,identity,immutable-source,id / identified_by (Identifier)
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],properties.Wijk,Wijk,Ward label transcribed from the original GIS source.,curated,string,yes,no,no,8,8,8,"""E""",,space,immutable-source,
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,8,8,8,"""Feature""",@type,vocabulary,immutable-source,type / classified_as
