table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,object,yes,no,no,5,5,5,"{""type"":""MultiPolygon"",""coordinates"":[[[[559399.7023929382,645611.7866853353],[559952.2596358126,645435.8061330211],[560494.8777714343,645155.5203652614],[559721.5968658944,6448...",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,no,5,5,5,"[[[[559399.7023929382,645611.7866853353],[559952.2596358126,645435.8061330211],[560494.8777714343,645155.5203652614],[559721.5968658944,644831.2547650624],[559635.8590892102,644...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,5,5,5,"[[[559399.7023929382,645611.7866853353],[559952.2596358126,645435.8061330211],[560494.8777714343,645155.5203652614],[559721.5968658944,644831.2547650624],[559635.8590892102,6448...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry.coordinates[][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,5,5,5,"[[559399.7023929382,645611.7866853353],[559952.2596358126,645435.8061330211],[560494.8777714343,645155.5203652614],[559721.5968658944,644831.2547650624],[559635.8590892102,64485...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry.coordinates[][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,5,5,70,"[559399.7023929382,645611.7866853353]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry.coordinates[][][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,yes,no,yes,5,5,140,559399.7023929382,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,5,5,5,"""MultiPolygon""",@type,space;vocabulary,immutable-source,type / classified_as
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,5,5,5,"{""id"":1,""wijk"":""A""}",https://purl.org/geojson/vocab#properties,content,immutable-source,
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],properties.id,Id,Stable identifier used to address this record.,curated,integer,yes,no,no,5,5,5,1,,identity,immutable-source,id / identified_by (Identifier)
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],properties.wijk,Wijk,Ward label transcribed from the original GIS source.,curated,string,yes,no,no,5,5,5,"""A""",,space,immutable-source,
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,5,5,5,"""Feature""",@type,vocabulary,immutable-source,type / classified_as
