table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,null;object,yes,yes,no,3143,3143,3143,"{""type"":""Point"",""coordinates"":[-55.152130762673316,5.826906830255269]}",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,no,no,no,3141,3143,3141,"[-55.152130762673316,5.826906830255269]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,no,no,yes,3141,3143,6282,-55.152130762673316,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,no,no,no,3141,3143,3141,"""Point""",@type,space;vocabulary,immutable-source,type / classified_as
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,3143,3143,3143,"{""wijk1885"":""A"",""huisnummer1885"":44,""legenda1885"":null,""legenda1916"":null,""beschrijving1885"":""Secretarie"",""beschrijving1916"":null,""red_commentaar"":null,""adres1885"":""A44"",""beschr...",https://purl.org/geojson/vocab#properties,content,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.adres1885,Adres1885,Address wording recorded for 1885 in the original GIS source.,curated,null;string,yes,yes,no,3143,3143,3143,"""A44""",,space,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.beschrijving1854,Beschrijving1854,Description for 1854 retained from the original GIS source.,curated,null;string,yes,yes,no,3143,3143,3143,"""Lands kantoren""",,content,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.beschrijving1885,Beschrijving1885,Description for 1885 retained from the original GIS source.,curated,null;string,yes,yes,no,3143,3143,3143,"""Secretarie""",,content,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.beschrijving1916,Beschrijving1916,Description for 1916 retained from the original GIS source.,curated,null;string,yes,yes,no,3143,3143,3143,null,,content,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.bioscoopnaam,Bioscoopnaam,Cinema name retained from the original GIS source.,curated,null;string,yes,yes,no,3143,3143,3143,null,,content,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.huisnummer1885,Huisnummer1885,House number recorded for 1885 in the original GIS source.,curated,integer;null,yes,yes,no,3143,3143,3143,44,,content,immutable-source,
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],properties.legenda1885,Legenda1885,Map legend value recorded for 1885 in the original GIS source.,curated,null;string,yes,yes,no,3143,3143,3143,null,,content,immutable-source,
