table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,object,yes,no,no,165,165,165,"{""type"":""MultiLineString"",""coordinates"":[[[-55.15105103696605,5.825076627388309],[-55.15068112990752,5.82500869270941],[-55.150354577828175,5.824971490573788],[-55.1497510765169...",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,no,165,165,165,"[[[-55.15105103696605,5.825076627388309],[-55.15068112990752,5.82500869270941],[-55.150354577828175,5.824971490573788],[-55.14975107651698,5.825521255466865],[-55.1494369251495,...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,165,165,171,"[[-55.15105103696605,5.825076627388309],[-55.15068112990752,5.82500869270941],[-55.150354577828175,5.824971490573788],[-55.14975107651698,5.825521255466865],[-55.1494369251495,5...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],geometry.coordinates[][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,165,165,913,"[-55.15105103696605,5.825076627388309]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],geometry.coordinates[][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,yes,no,yes,165,165,1826,-55.15105103696605,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,165,165,165,"""MultiLineString""",@type,space;vocabulary,immutable-source,type / classified_as
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,165,165,165,"{""Name"":""[naamloos]"",""ID"":1}",https://purl.org/geojson/vocab#properties,content,immutable-source,
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],properties.ID,ID,Identifier supplied by the original GIS source feature.,curated,integer,yes,no,no,165,165,165,1,,identity,immutable-source,
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],properties.Name,Name,Label supplied by the original GIS source feature.,curated,string,yes,no,no,165,165,165,"""[naamloos]""",,content,immutable-source,
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,165,165,165,"""Feature""",@type,vocabulary,immutable-source,type / classified_as
