table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
dikland-collection,data/dikland-collection.jsonld,@graph[],@id,Id,Canonical or compact identifier for the described entity.,curated,string,yes,no,no,1,1,1,"""https://data.surinametijdmachine.org/source/dikland/voorburg""",@id,identity,editor-managed,id
dikland-collection,data/dikland-collection.jsonld,@graph[],@type,Type,One or more semantic classes assigned to the entity.,curated,string,yes,no,no,1,1,1,"""crm:E22_Human-Made_Object""",@type,vocabulary,editor-managed,type
dikland-collection,data/dikland-collection.jsonld,@graph[],altLabels,Alt Labels,Alternative human-readable labels retained for discovery.,curated,array,yes,no,no,1,1,1,"[""Voorburg""]",http://www.w3.org/2004/02/skos/core#altLabel,content,editor-managed,identified_by (Name)
dikland-collection,data/dikland-collection.jsonld,@graph[],altLabels[],Alt Labels,Alternative human-readable labels retained for discovery.,curated,string,yes,no,yes,1,1,1,"""Voorburg""",http://www.w3.org/2004/02/skos/core#altLabel,content,editor-managed,identified_by (Name)
dikland-collection,data/dikland-collection.jsonld,@graph[],author,Author,Person or organization responsible for the source item.,curated,string,yes,no,no,1,1,1,"""Philip Dikland""",http://purl.org/dc/terms/creator,content,editor-managed,
dikland-collection,data/dikland-collection.jsonld,@graph[],collectionUrl,Collection Url,Landing page or folder URL for the source collection.,curated,string,yes,no,no,1,1,1,"""https://drive.google.com/drive/u/0/folders/0B88mZFitv8embmZaYWFQNnZacDQ?tid=0B88mZFitv8emcjVfcG5hWFJOdWs&resourcekey=0-sImlF_DkEFu3ebWbDQ58Kg""",https://data.surinametijdmachine.org/collectionUrl,source,editor-managed,
dikland-collection,data/dikland-collection.jsonld,@graph[],folderPath,Folder Path,Path of the referenced item within the source collection.,curated,string,yes,no,no,1,1,1,"""erfgoed - geschiedenis/Suriname rivier/plantages/Voorburg 2004-01 geschiedenis.pdf""",https://data.surinametijdmachine.org/folderPath,content,editor-managed,
dikland-collection,data/dikland-collection.jsonld,@graph[],formsPartOf,Forms Part Of,Larger collection or source of which this item forms part.,curated,string,yes,no,no,1,1,1,"""https://data.surinametijdmachine.org/source/dikland-collection""",http://www.cidoc-crm.org/cidoc-crm/P46i_forms_part_of,source,editor-managed,
dikland-collection,data/dikland-collection.jsonld,@graph[],notes,Notes,Human-readable notes supplied by a source or editor.,curated,string,yes,no,no,1,1,1,"""Suikerplantage Voorburg aan de Surinamerivier, rechteroever bij het afvaren. Omstreeks 1750 aangelegd als gouvernementskostgrond; omstreeks 1770 gekregen de naam Voorburg. Aute...",http://purl.org/dc/terms/description,provenance,editor-managed,referred_to_by (LinguisticObject)
dikland-collection,data/dikland-collection.jsonld,@graph[],prefLabel,Pref Label,Preferred human-readable label for the entity or concept.,curated,string,yes,no,no,1,1,1,"""Voorburg - suikerplantage aan de Surinamerivier (Dikland)""",http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,vocabulary,editor-managed,_label + identified_by (Name)
dikland-collection,data/dikland-collection.jsonld,@graph[],sourceId,Source Id,Stable local identifier for a registered source.,curated,string,yes,no,no,1,1,1,"""dikland/voorburg""",http://purl.org/dc/terms/identifier,source,editor-managed,identified_by (Identifier)
dikland-collection,data/dikland-collection.jsonld,@graph[],year,Year,Calendar year associated with this source value.,curated,string,yes,no,no,1,1,1,"""2004""",http://purl.org/dc/terms/date,time,editor-managed,
