table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
place-types,data/place-types-thesaurus.jsonld,@graph[],@id,Id,Canonical or compact identifier for the described entity.,curated,string,yes,no,no,45,45,45,"""stm:vocabulary/place-type""",@id,identity,editor-managed,id
place-types,data/place-types-thesaurus.jsonld,@graph[],@type,Type,One or more semantic classes assigned to the entity.,curated,array;string,yes,no,no,45,45,45,"""skos:ConceptScheme""",@type,vocabulary,editor-managed,type
place-types,data/place-types-thesaurus.jsonld,@graph[],@type[],Type,One or more semantic classes assigned to the entity.,curated,string,no,no,yes,43,45,86,"""skos:Concept""",@type,vocabulary,editor-managed,type
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel,Alt Label,Alternative human-readable label retained for discovery.,curated,object,no,no,no,27,45,27,"{""nl"":[""voormalige militaire post (1882 map)"",""redoute""],""en"":[""redoubt""]}",http://www.w3.org/2004/02/skos/core#altLabel,vocabulary,editor-managed,identified_by (Name)
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel.en,En,English-language value of Alt Label.,curated,array,no,no,no,21,45,21,"[""redoubt""]",,vocabulary,editor-managed,
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel.en[],En,English-language value of Alt Label.,curated,string,no,no,yes,21,45,44,"""redoubt""",,vocabulary,editor-managed,
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel.nl,Nl,Dutch-language value of Alt Label.,curated,array,no,no,no,27,45,27,"[""voormalige militaire post (1882 map)"",""redoute""]",,vocabulary,editor-managed,
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel.nl[],Nl,Dutch-language value of Alt Label.,curated,string,no,no,yes,27,45,104,"""voormalige militaire post (1882 map)""",,vocabulary,editor-managed,
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel.srn,Srn,Sranantongo-language value of Alt Label.,curated,array,no,no,no,5,45,5,"[""Stasi""]",,vocabulary,editor-managed,
place-types,data/place-types-thesaurus.jsonld,@graph[],altLabel.srn[],Srn,Sranantongo-language value of Alt Label.,curated,string,no,no,yes,5,45,5,"""Stasi""",,vocabulary,editor-managed,
place-types,data/place-types-thesaurus.jsonld,@graph[],broader,Broader,Identifier of the broader place or vocabulary concept.,curated,string,no,no,no,35,45,35,"""stm:vocabulary/place-type/human-made""",http://www.w3.org/2004/02/skos/core#broader,vocabulary,editor-managed,TopographicalStatus / part_of
place-types,data/place-types-thesaurus.jsonld,@graph[],closeMatch,Close Match,External concept or entity judged to be sufficiently similar for linking.,curated,array,no,no,no,21,45,21,"[""http://www.wikidata.org/entity/Q188913""]",http://www.w3.org/2004/02/skos/core#closeMatch,content,editor-managed,SimilarityStatus
place-types,data/place-types-thesaurus.jsonld,@graph[],closeMatch[],Close Match,External concept or entity judged to be sufficiently similar for linking.,curated,string,no,no,yes,21,45,31,"""http://www.wikidata.org/entity/Q188913""",http://www.w3.org/2004/02/skos/core#closeMatch,content,editor-managed,SimilarityStatus
