table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
places,data/places-gazetteer.jsonld,@graph[],@id,Id,Canonical or compact identifier for the described entity.,curated,string,yes,no,no,9138,9138,9138,"""https://data.surinametijdmachine.org/place/stm-00001""",@id,identity,editor-managed,id
places,data/places-gazetteer.jsonld,@graph[],@type,Type,One or more semantic classes assigned to the entity.,curated,array;string,yes,no,no,9138,9138,9138,"[""E53_Place""]",@type,vocabulary,editor-managed,type
places,data/places-gazetteer.jsonld,@graph[],@type[],Type,One or more semantic classes assigned to the entity.,curated,string,no,no,yes,5995,9138,5995,"""E53_Place""",@type,vocabulary,editor-managed,type
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations,Almanakken Observations,Materialized Almanakken rows retained as source evidence.,curated,array,no,no,no,975,9138,975,"[{""recordId"":""1818-49-219"",""source"":""almanakken"",""sourceVersion"":""v2"",""qid"":""Q2280245"",""year"":1818,""page"":""49"",""locationOriginal"":""Rivier Commewijne, regterhand"",""locationStanda...",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[],Almanakken Observations,Materialized Almanakken rows retained as source evidence.,curated,object,no,no,yes,975,9138,19483,"{""recordId"":""1818-49-219"",""source"":""almanakken"",""sourceVersion"":""v2"",""qid"":""Q2280245"",""year"":1818,""page"":""49"",""locationOriginal"":""Rivier Commewijne, regterhand"",""locationStandar...",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].additionalInfo,Additional Info,Additional source text not represented by a narrower field.,curated,string,no,no,yes,314,9138,2001,"""De magt is elders verhuurd en de grond aan plantage Zoelen.""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].deserted,Deserted,Whether the source explicitly reports the plantation as deserted.,curated,boolean,no,no,yes,437,9138,4494,true,,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].direction,Direction,Direction or river-bank wording supplied by the source.,curated,string,no,no,yes,925,9138,18293,"""rechts""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].districtOrDivision,District Or Division,District or division wording recorded by the source.,curated,string,no,no,yes,787,9138,1004,"""Divisie Beneden-Commewijne""",,space,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].function,Function,Function or production activity reported by the source.,curated,string,no,no,yes,83,9138,715,"""onbekend""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].hasParts,Has Parts,Source-reported component plantation organizations.,curated,array,no,no,yes,77,9138,846,"[{""qid"":""Q59115549"",""label"":""Aitnoch""},{""qid"":""Q59115131"",""label"":""Elizabethshoop""}]",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].hasParts[],Has Parts,Source-reported component plantation organizations.,curated,object,no,no,yes,77,9138,1709,"{""qid"":""Q59115549"",""label"":""Aitnoch""}",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].hasParts[].label,Label,Human-readable label supplied for a referenced entity.,curated,string,no,no,yes,77,9138,1709,"""Aitnoch""",,vocabulary,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].hasParts[].qid,Qid,Wikidata Q identifier used to reconcile a plantation organization.,curated,string,no,no,yes,77,9138,1709,"""Q59115549""",,identity,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].littera,Littera,Source section or letter marker retained from the Almanakken.,curated,string,no,no,yes,899,9138,15813,"""B""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].locationOriginal,Location Original,Location wording exactly as transcribed from the source.,curated,string,no,no,yes,975,9138,19483,"""Rivier Commewijne, regterhand""",,space,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].locationStandardized,Location Standardized,Standardized location wording supplied by the dataset.,curated,string,no,no,yes,975,9138,19483,"""Commewijne""",,space,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].lot,Lot,Lot identifier or wording reported by the source.,curated,string,no,no,yes,439,9138,953,"""2""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].mill,Mill,Structured mill information retained from the source row.,curated,object,no,no,yes,97,9138,310,"{""water"":""1""}",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].mill.steam,Steam,Source value for steam-powered machinery recorded in the Almanakken row.,curated,string,no,no,yes,41,9138,41,"""2""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].mill.type,Type,Record or feature type used by the current application model.,curated,string,no,no,yes,85,9138,234,"""Waterwerk""",,vocabulary,editor-managed,type / classified_as
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].mill.water,Water,Source value for water-powered machinery recorded in the Almanakken row.,curated,string,no,no,yes,37,9138,37,"""1""",,content,editor-managed,
places,data/places-gazetteer.jsonld,@graph[],almanakkenObservations[].ownedBy,Owned By,Source-reported owning organizations.,curated,array,no,no,yes,305,9138,2666,"[{""qid"":""Q59115137"",""label"":""Alderaad""}]",,content,editor-managed,
