table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],@id,Id,Canonical or compact identifier for the described entity.,curated,string,yes,no,no,202,202,202,"""https://data.surinametijdmachine.org/organization-composition/q124831564-q19974088-q59115738-1818""",@id,identity,generated-read-only,id
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],@type,Type,One or more semantic classes assigned to the entity.,curated,array,yes,no,no,202,202,202,"[""E13_Attribute_Assignment"",""PlantationCompositionPeriod""]",@type,vocabulary,generated-read-only,type
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],@type[],Type,One or more semantic classes assigned to the entity.,curated,string,yes,no,yes,202,202,404,"""E13_Attribute_Assignment""",@type,vocabulary,generated-read-only,type
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],certainty,Certainty,Certainty level assigned to an editorial or derived interpretation.,curated,string,yes,no,no,202,202,202,"""https://data.surinametijdmachine.org/type/certainty/probable""",https://data.surinametijdmachine.org/certainty,provenance,generated-read-only,
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],firstAttestedYear,First Attested Year,First consecutive year in which this exact composition is attested.,curated,integer,yes,no,no,202,202,202,1818,https://data.surinametijdmachine.org/firstAttestedYear,time,generated-read-only,timespan boundary / STM convenience field
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],hadPrimarySource,Had Primary Source,Source entities supporting this assertion.,curated,array,yes,no,no,202,202,202,"[""https://data.surinametijdmachine.org/source/almanac-1818""]",http://www.w3.org/ns/prov#hadPrimarySource,source,generated-read-only,referred_to_by / provenance extension
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],hadPrimarySource[],Had Primary Source,Source entities supporting this assertion.,curated,string,yes,no,yes,202,202,784,"""https://data.surinametijdmachine.org/source/almanac-1818""",http://www.w3.org/ns/prov#hadPrimarySource,source,generated-read-only,referred_to_by / provenance extension
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],inferenceRule,Inference Rule,Documented deterministic rule used to derive this assertion.,curated,string,yes,no,no,202,202,202,"""https://data.surinametijdmachine.org/rule/consecutive-source-reported-plantation-composition""",https://data.surinametijdmachine.org/inferenceRule,provenance,generated-read-only,provenance method extension
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],lastAttestedYear,Last Attested Year,Last consecutive year in which this exact composition is attested.,curated,integer,yes,no,no,202,202,202,1818,https://data.surinametijdmachine.org/lastAttestedYear,time,generated-read-only,timespan boundary / STM convenience field
plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],observationYears,Observation Years,Every annual source-observation year supporting the derived period.,curated,array,yes,no,no,202,202,202,[1818],https://data.surinametijdmachine.org/observationYear,time,generated-read-only,assertion evidence chronology (STM extension)
