distribution_id,source_file,media_type,byte_size,checksum_algorithm,checksum_value,role,current_editability,source_registry_ids,dataset_release_id,release_file_id,provenance_status
repo:data/01-plantages-dataset - Suriname Plantation Dataset Version 1.0/Suriname Plantation Dataset Version 1.0.csv,data/01-plantages-dataset - Suriname Plantation Dataset Version 1.0/Suriname Plantation Dataset Version 1.0.csv,text/csv,75410,SHA-256,c7da5731fc9e17cf7ea888c11d530eebbb2638bacea0dac26c3c8064b3b10834,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/02-death-certificates - Suriname Death Certificates 1845-1915 Version 1.0/Suriname_death_certificates_1845_1915.csv,data/02-death-certificates - Suriname Death Certificates 1845-1915 Version 1.0/Suriname_death_certificates_1845_1915.csv,text/csv,56148734,SHA-256,e0131894f405de6c8dcedc3c9f251e0066ea7785d20d3a009ffafcb16e1aa9ff,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/03-birth-certificates - Paramaribo Birth Certificates 1828-1921 Version 1.0/Paramaribo_birth_certificates_V1.0.csv,data/03-birth-certificates - Paramaribo Birth Certificates 1828-1921 Version 1.0/Paramaribo_birth_certificates_V1.0.csv,text/csv,40456577,SHA-256,3357369a58d07efccfb195591c93a865c24085bb7ba712a16ca84c6280038aa5,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/04-ward-registers - Paramaribo Ward Registers 1828-1847/Standardization of street names/street standardization 20240328.csv,data/04-ward-registers - Paramaribo Ward Registers 1828-1847/Standardization of street names/street standardization 20240328.csv,text/csv,5626,SHA-256,bfcc2e13d6d6f961353fdd8e07b2b2df6dc9cf6291e92130fcb1fa3d317e7a9d,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/04-ward-registers - Paramaribo Ward Registers 1828-1847/WR28-47.csv,data/04-ward-registers - Paramaribo Ward Registers 1828-1847/WR28-47.csv,text/csv,42829173,SHA-256,2792fd709c5ab2f800527e2793c9e9628857fb4cb41ea46bcd1110268cd70f81,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/04-ward-registers - Paramaribo Ward Registers 1828-1847/religion standardization.csv,data/04-ward-registers - Paramaribo Ward Registers 1828-1847/religion standardization.csv,text/csv,4918,SHA-256,fe888c61e103963c699d488f18a28df5a694b3e6831f687a5151b80a1a8e26d9,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/05-slave-emancipation - Suriname Slave and Emancipation Registers Dataset Version 1.1/Dataset Suriname Slave and Emancipation Registers Version 1.1.csv,data/05-slave-emancipation - Suriname Slave and Emancipation Registers Dataset Version 1.1/Dataset Suriname Slave and Emancipation Registers Version 1.1.csv,text/csv,55286454,SHA-256,13e447878e18e1ba4d05c133a85cfa3216f54228be25fe26c91727ab4f02db62,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/06-almanakken - Plantations Surinaamse Almanakken/Plantations Surinaamse Almanakken v2.0 (1).csv,data/06-almanakken - Plantations Surinaamse Almanakken/Plantations Surinaamse Almanakken v2.0 (1).csv,text/csv,6018067,SHA-256,a3999b4479405594c144a0bd0872a71346e9087d25c3a79d944978a481f20a1a,source-distribution,immutable-source,almanakken,,,source-linked; repository-path-and-checksum-recorded; deposited-release-unresolved
repo:data/07-gis-plantation-map-1930/military_posts_1882.csv,data/07-gis-plantation-map-1930/military_posts_1882.csv,text/csv,3877,SHA-256,57b6753cc23fd4bca86f8c30915a865591c95c7fb8c801e7dbbec8cedd957084,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
repo:data/07-gis-plantation-map-1930/places.csv,data/07-gis-plantation-map-1930/places.csv,text/csv,20433,SHA-256,600838751cc373e8278a8950e766e0ec6ee067734fab51fc1032b96ada10151a,source-distribution,immutable-source,,,,repository-path-and-checksum-recorded; source-and-deposited-release-unresolved
