table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,object,yes,no,no,165,165,165,"{""type"":""MultiLineString"",""coordinates"":[[[-55.15105103696605,5.825076627388309],[-55.15068112990752,5.82500869270941],[-55.150354577828175,5.824971490573788],[-55.1497510765169...",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,no,165,165,165,"[[[-55.15105103696605,5.825076627388309],[-55.15068112990752,5.82500869270941],[-55.150354577828175,5.824971490573788],[-55.14975107651698,5.825521255466865],[-55.1494369251495,...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,165,165,171,"[[-55.15105103696605,5.825076627388309],[-55.15068112990752,5.82500869270941],[-55.150354577828175,5.824971490573788],[-55.14975107651698,5.825521255466865],[-55.1494369251495,5...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],geometry.coordinates[][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,165,165,913,"[-55.15105103696605,5.825076627388309]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],geometry.coordinates[][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,yes,no,yes,165,165,1826,-55.15105103696605,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,165,165,165,"""MultiLineString""",@type,space;vocabulary,immutable-source,type / classified_as
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,165,165,165,"{""Name"":""[naamloos]"",""ID"":1}",https://purl.org/geojson/vocab#properties,content,immutable-source,
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],properties.ID,ID,Identifier supplied by the original GIS source feature.,curated,integer,yes,no,no,165,165,165,1,,identity,immutable-source,
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],properties.Name,Name,Label supplied by the original GIS source feature.,curated,string,yes,no,no,165,165,165,"""[naamloos]""",,content,immutable-source,
source-snapshot-fields,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,165,165,165,"""Feature""",@type,vocabulary,immutable-source,type / classified_as
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,object,yes,no,no,8,8,8,"{""type"":""MultiPolygon"",""coordinates"":[[[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,64439...",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,no,8,8,8,"[[[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,644398.6093896854],[558872.0596955663,6443...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,8,"[[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,644398.6093896854],[558872.0596955663,64439...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry.coordinates[][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,8,"[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,644398.6093896854],[558872.0596955663,644396...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry.coordinates[][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,92,"[559391.0572861833,644597.8687601605]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry.coordinates[][][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,yes,no,yes,8,8,184,559391.0572861833,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,8,8,8,"""MultiPolygon""",@type,space;vocabulary,immutable-source,type / classified_as
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,8,8,8,"{""id"":1,""wijk"":""A""}",https://purl.org/geojson/vocab#properties,content,immutable-source,
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],properties.id,Id,Stable identifier used to address this record.,curated,integer,yes,no,no,8,8,8,1,,identity,immutable-source,id / identified_by (Identifier)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],properties.wijk,Wijk,Ward label transcribed from the original GIS source.,curated,string,yes,no,no,8,8,8,"""A""",,space,immutable-source,
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,8,8,8,"""Feature""",@type,vocabulary,immutable-source,type / classified_as
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry,Geometry,GeoJSON geometry associated with this source feature.,curated,object,yes,no,no,8,8,8,"{""type"":""MultiPolygon"",""coordinates"":[[[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,64439...",https://purl.org/geojson/vocab#geometry,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry.coordinates,Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,no,8,8,8,"[[[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,644398.6093896854],[558872.0596955663,6443...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry.coordinates[],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,8,"[[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,644398.6093896854],[558872.0596955663,64439...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry.coordinates[][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,8,"[[559391.0572861833,644597.8687601605],[559376.1184825216,644579.0407430867],[559263.8218546979,644399.717929472],[558911.0779743949,644398.6093896854],[558872.0596955663,644396...",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry.coordinates[][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,array,yes,no,yes,8,8,100,"[559391.0572861833,644597.8687601605]",https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry.coordinates[][][][],Coordinates,Coordinate array following the GeoJSON geometry type.,curated,number,yes,no,yes,8,8,200,559391.0572861833,https://purl.org/geojson/vocab#coordinates,space,immutable-source,defined_by (GeometricPlaceExpression)
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],geometry.type,Type,Record or feature type used by the current application model.,curated,string,yes,no,no,8,8,8,"""MultiPolygon""",@type,space;vocabulary,immutable-source,type / classified_as
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],properties,Properties,Source attributes attached to a GeoJSON feature.,curated,object,yes,no,no,8,8,8,"{""id"":1,""wijk"":""A""}",https://purl.org/geojson/vocab#properties,content,immutable-source,
source-snapshot-fields,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],properties.id,Id,Stable identifier used to address this record.,curated,integer,yes,no,no,8,8,8,1,,identity,immutable-source,id / identified_by (Identifier)
