table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
sources-registry,data/sources-registry.jsonld,@graph[],@id,Id,Canonical or compact identifier for the described entity.,curated,string,yes,no,no,139,139,139,"""https://data.surinametijdmachine.org/type/source-type/map""",@id,identity,editor-managed,id
sources-registry,data/sources-registry.jsonld,@graph[],@type,Type,One or more semantic classes assigned to the entity.,curated,array,yes,no,no,139,139,139,"[""crm:E55_Type""]",@type,vocabulary,editor-managed,type
sources-registry,data/sources-registry.jsonld,@graph[],@type[],Type,One or more semantic classes assigned to the entity.,curated,string,yes,no,yes,139,139,139,"""crm:E55_Type""",@type,vocabulary,editor-managed,type
sources-registry,data/sources-registry.jsonld,@graph[],collectionUrl,Collection Url,Landing page or folder URL for the source collection.,curated,string,no,no,no,1,139,1,"""https://drive.google.com/drive/u/0/folders/0B88mZFitv8embmZaYWFQNnZacDQ?tid=0B88mZFitv8emcjVfcG5hWFJOdWs&resourcekey=0-sImlF_DkEFu3ebWbDQ58Kg""",https://data.surinametijdmachine.org/collectionUrl,source,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],description,Description,Human-readable description of the record.,curated,string,no,no,no,18,139,18,"""Cartographic sources depicting Suriname's landscape, settlements, and plantations across different periods.""",http://purl.org/dc/terms/description,content,editor-managed,referred_to_by (LinguisticObject)
sources-registry,data/sources-registry.jsonld,@graph[],handleUrl,Handle Url,Persistent or archival landing-page URL for the source.,curated,string,no,no,no,124,139,124,"""http://hdl.handle.net/1887.1/item:2015734""",https://data.surinametijdmachine.org/handleUrl,source,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],holdingArchive,Holding Archive,Archive or institution holding the source.,curated,string,no,no,no,124,139,124,"""UB Leiden""",https://data.surinametijdmachine.org/holdingArchive,source,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],iiifInfoUrl,Iiif Info Url,IIIF Image API information URL for the source image.,curated,string,no,no,no,121,139,121,"""https://service.archief.nl/iip/70/6a/ba/89/e6/7b/4d/09/a8/17/70/e6/7f/bc/fb/e9/cf8fbb84-5e14-4093-a253-4f82ed669d3e.jp2/info.json""",https://data.surinametijdmachine.org/iiifInfoUrl,source,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],iiifManifest,Iiif Manifest,IIIF Presentation manifest describing the source.,curated,string,no,no,no,103,139,103,"""https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38611/manifest/""",https://data.surinametijdmachine.org/iiifManifest,source,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],linkedToGazetteer,Linked To Gazetteer,Whether this source currently participates in Gazetteer derivation.,curated,boolean,no,no,no,133,139,133,false,https://data.surinametijdmachine.org/linkedToGazetteer,content,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],maker,Maker,Maker or creator transcribed for the source.,curated,string,no,no,no,95,139,95,"""Louis August Bakhuis, W. de Quant, Johan François Adriaan Cateau van Rosevelt, Jan Felix Adriaan Eugène van Lansberge, Ministerie van Koloniën (Den Haag)""",https://data.surinametijdmachine.org/maker,content,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],mapYear,Map Year,Year represented by a historical map.,curated,integer,no,no,no,104,139,104,1930,https://data.surinametijdmachine.org/mapYear,time,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],P2_has_type,P2 Has Type,CIDOC CRM type assigned to this source registry entity.,curated,string,no,no,no,133,139,133,"""https://data.surinametijdmachine.org/type/source-type/research-collection""",http://www.cidoc-crm.org/cidoc-crm/P2_has_type,vocabulary,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],prefLabel,Pref Label,Preferred human-readable label for the entity or concept.,curated,string,yes,no,no,139,139,139,"""Maps""",http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,vocabulary,editor-managed,_label + identified_by (Name)
sources-registry,data/sources-registry.jsonld,@graph[],publicationPlace,Publication Place,Publication place transcribed for the source.,curated,string,no,no,no,2,139,2,"""Den Haag""",https://data.surinametijdmachine.org/publicationPlace,space,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],publisher,Publisher,Publisher transcribed for the source.,curated,string,no,no,no,1,139,1,"""Departement van Koloniën""",https://data.surinametijdmachine.org/publisher,content,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],sameAs,Same As,External URI asserted to identify the same source entity.,curated,string,no,no,no,1,139,1,"""https://www.suriname-heritage-guide.com/""",https://schema.org/sameAs,content,editor-managed,
sources-registry,data/sources-registry.jsonld,@graph[],sourceId,Source Id,Stable local identifier for a registered source.,curated,string,no,no,no,133,139,133,"""rijksmuseum-collection""",http://purl.org/dc/terms/identifier,source,editor-managed,identified_by (Identifier)
sources-registry,data/sources-registry.jsonld,@graph[],timeSpan,Time Span,Textual coverage period currently recorded for a source.,curated,string,no,no,no,7,139,7,"""1916-1917""",https://data.surinametijdmachine.org/timeSpan,time,editor-managed,
