table_id,source_file,record_scope,record_count,field_count,role,current_editability,has_space_fields,has_time_fields,has_source_fields,has_edit_provenance,has_dataset_release_version,dictionary_file
07-gis-plantation-map-1930-streetsparamaribo1916map,data/07-gis-plantation-map-1930/streetsParamaribo1916map.geojson,features[],165,10,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/07-gis-plantation-map-1930-streetsparamaribo1916map.csv
08-place-points-qgis-export20260619-districts-paramaribo-nw-1837,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1837.geojson,features[],8,11,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-districts-paramaribo-nw-1837.csv
08-place-points-qgis-export20260619-districts-paramaribo-nw-1885,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1885.geojson,features[],8,11,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-districts-paramaribo-nw-1885.csv
08-place-points-qgis-export20260619-districts-paramaribo-nw-1916,data/08-place-points-qgis/export20260619/districts_paramaribo_NW_1916.geojson,features[],8,12,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-districts-paramaribo-nw-1916.csv
08-place-points-qgis-export20260619-districts-paramaribo-ow-1804,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1804.geojson,features[],5,11,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-districts-paramaribo-ow-1804.csv
08-place-points-qgis-export20260619-districts-paramaribo-ow-1817,data/08-place-points-qgis/export20260619/districts_paramaribo_OW_1817.geojson,features[],10,14,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-districts-paramaribo-ow-1817.csv
08-place-points-qgis-export20260619-locatiepunten1885,data/08-place-points-qgis/export20260619/locatiepunten1885.geojson,features[],3143,19,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-locatiepunten1885.csv
08-place-points-qgis-export20260619-streetsparamaribo1758map,data/08-place-points-qgis/export20260619/streetsParamaribo1758map.geojson,features[],69,10,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-streetsparamaribo1758map.csv
08-place-points-qgis-export20260619-streetsparamaribo1772map,data/08-place-points-qgis/export20260619/streetsParamaribo1772map.geojson,features[],69,10,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-streetsparamaribo1772map.csv
08-place-points-qgis-export20260619-streetsparamaribo1804map,data/08-place-points-qgis/export20260619/streetsParamaribo1804map.geojson,features[],134,10,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-streetsparamaribo1804map.csv
08-place-points-qgis-export20260619-streetsparamaribo1916map,data/08-place-points-qgis/export20260619/streetsParamaribo1916map.geojson,features[],165,10,source-snapshot,immutable-source,yes,no,no,no,no,docs/data-dictionary/08-place-points-qgis-export20260619-streetsparamaribo1916map.csv
dikland-collection,data/dikland-collection.jsonld,@graph[],1,12,editorial-authority,editor-managed,no,yes,yes,no,no,docs/data-dictionary/dikland-collection.csv
organization-authority-overrides,data/organization-authority-overrides.jsonld,@graph[],22,9,editorial-authority,editor-managed,no,yes,no,yes,no,docs/data-dictionary/organization-authority-overrides.csv
place-types-thesaurus,data/place-types-thesaurus.jsonld,@graph[],45,44,editorial-authority,editor-managed,no,yes,no,no,no,docs/data-dictionary/place-types-thesaurus.csv
places-gazetteer,data/places-gazetteer.jsonld,@graph[],9138,163,editorial-authority,editor-managed,yes,yes,yes,yes,no,docs/data-dictionary/places-gazetteer.csv
sources-registry,data/sources-registry.jsonld,@graph[],139,19,editorial-authority,editor-managed,yes,yes,yes,no,no,docs/data-dictionary/sources-registry.csv
generated-plantation-composition-periods,app/lod/database.jsonld#PlantationCompositionPeriod (generated from Almanakken v2 CSV),derived[],202,17,generated-projection,generated-read-only,no,yes,yes,no,no,docs/data-dictionary/generated-plantation-composition-periods.csv
